seller sku code	mrp	Discount
DKUC-LOW-612--6-7 Years	1900	100
DKUC-LOW-612--7-8 Years	2100	100
DKUC-LOW-612--8-9 Years	2100	100
DKUC-LOW-612--9-10 Years	2100	100
DKUC-NSUT-124--1-2 years	2100	100
DKUC-NSUT-124--2-3 years	2100	100
DKUC-NSUT-124--3-4 years	2100	100
DKUC-NSUT-124--4-5 years	2100	100
DKUC-NSUT-124--5-6 years	2100	100
DKUC-NSUT-124--6-7 years	2100	100
DKUC-NSUT-124--7-8 years	2400	100
DKUC-NSUT-124--8-9 years	2400	100
DKUC-NSUT-124--9-10 years	2400	100
DKUC-NSUT-125--11-12 years	1899	100
DKUC-NSUT-125--1-2 years	2100	100
DKUC-NSUT-125--13-14 years	1899	100
DKUC-NSUT-125--2-3 years	2100	100
DKUC-NSUT-125--3-4 years	2100	100
DKUC-NSUT-125--4-5 years	2100	100
DKUC-NSUT-125--5-6 years	2100	100
DKUC-NSUT-125--6-7 years	2100	100
DKUC-NSUT-125--7-8 years	1899	100
DKUC-NSUT-125--8-9 years	1899	100
DKUC-NSUT-125--9-10 years	1899	100
DKUC-NSUT-128--18-24 Months-18-24M	1899	100
DKUC-NSUT-128--2-3 Years-2-3Y	1899	100
DKUC-NSUT-128--3-4 years-3-4Y	1899	100
DKUC-NSUT-128--4-5 Years-4-5Y	1899	100
DKUC-NSUT-128--5-6 Years-5-6Y	1899	100
DKUC-NSUT-128--6-7 Years-6-7Y	1899	100
DKUC-NSUT-128--7-8 Years-7-8Y	1899	100
DKUC-NSUT-128--8-9 Years-8-9Y	1899	100
DKUC-NSUT-128--9-10 Years-9-10Y	1899	100
DKUC-NSUT-146--12-18 months	1899	100
DKUC-NSUT-146--2-3 years	1899	100
DKUC-NSUT-146--3-4 years	1899	100
DKUC-NSUT-146--4-5 years	1899	100
DKUC-NSUT-146--5-6 years	1899	100
DKUC-NSUT-146--6-7 years	1899	100
DKUC-NSUT-146--7-8 years	1899	100
DKUC-NSUT-146--8-9 years	1899	100
DKUC-NSUT-146--9-10 years	1899	100
DKUC-PAJ-131--0-3 Months	2100	100
DKUC-PAJ-131--12-18 Months	2400	100
DKUC-PAJ-131--18-24 Months	2400	100
DKUC-PAJ-131--2-3 Years	2400	100
DKUC-PAJ-131--3-4 Years	2700	100
DKUC-PAJ-131--3-6 Months	2100	100
DKUC-PAJ-131--4-5 Years	2700	100
DKUC-PAJ-131--5-6 Years	2700	100
DKUC-PAJ-131--6-7 Years	1899	100
DKUC-PAJ-131--7-8 Years	1899	100
DKUC-PAJ-131--9-12 Months	2100	100
DKUC-PAJ-133--0-3 Months	2100	100
DKUC-PAJ-133--3-6 Months	2100	100
DKUC-PAJ-133--9-12 Months	2100	100
DKUC-PAJ-133A--12-18 Months	2400	100
DKUC-PAJ-133A--18-24 Months	2400	100
DKUC-PAJ-133A--2-3 Years	2400	100
DKUC-PAJ-133A--3-4 Years	2700	100
DKUC-PAJ-133A--4-5 Years	2700	100
DKUC-PAJ-133A--5-6 Years	2700	100
DKUC-PAJ-135--0-3 Months	2100	100
DKUC-PAJ-135--12-18 Months	2400	100
DKUC-PAJ-135--18-24 Months	2400	100
DKUC-PAJ-135--2-3 Years	2400	100
DKUC-PAJ-135--3-4 Years	2700	100
DKUC-PAJ-135--3-6 Months	2100	100
DKUC-PAJ-135--4-5 Years	2700	100
DKUC-PAJ-135--5-6 Years	2700	100
DKUC-PAJ-135--6-7 Years	2700	100
DKUC-PAJ-135--7-8 Years	2700	100
DKUC-PAJ-135--9-12 Months	2100	100
DKUC-PAJ-137--0-3 Months	1899	100
DKUC-PAJ-137--12-18 Months	2199	100
DKUC-PAJ-137--18-24 Months	2199	100
DKUC-PAJ-137--2-3 Years	2199	100
DKUC-PAJ-137--3-4 Years	2499	100
DKUC-PAJ-137--3-6 Months	1899	100
DKUC-PAJ-137--4-5 Years	2499	100
DKUC-PAJ-137--5-6 Years	2499	100
DKUC-PAJ-137--9-12 Months	1899	100
DKUC-PAJ-141--0-3 Months-0-3M	1899	100
DKUC-PAJ-141--12-18 Months-12-18M	2199	100
DKUC-PAJ-141--18-24 Months-18-24M	2199	100
DKUC-PAJ-141--2-3 Years-2-3Y	2199	100
DKUC-PAJ-141--3-4 Years-3-4Y	2499	100
DKUC-PAJ-141--3-6 Months-3-6M	1899	100
DKUC-PAJ-141--4-5 Years-4-5Y	2499	100
DKUC-PAJ-141--5-6 Years-5-6Y	2499	100
DKUC-PAJ-141--9-12 Months-9-12M	1899	100
DKUC-PAJ-142--0-3 Months-0-3M	2100	100
DKUC-PAJ-142--12-18 Months-12-18M	2400	100
DKUC-PAJ-142--18-24 Months-18-24M	2400	100
DKUC-PAJ-142--2-3 Years-2-3Y	2400	100
DKUC-PAJ-142--3-4 Years-3-4Y	2700	100
DKUC-PAJ-142--3-6 Months-3-6M	2100	100
DKUC-PAJ-142--4-5 Years-4-5Y	2700	100
DKUC-PAJ-142--5-6 Years-5-6Y	2700	100
DKUC-PAJ-142--6-7 Years-6-7Y	2700	100
DKUC-PAJ-142--7-8 Years-7-8Y	2700	100
DKUC-PAJ-142--8-9 Years-8-9Y	2700	100
DKUC-PAJ-142--9-10 Years-9-10Y	2700	100
DKUC-PAJ-142--9-12 Months-9-12M	2100	100
DKUC-PAJ-149--0-3 Months-0-3M	1899	100
DKUC-PAJ-149--12-18 Months-12-18M	1899	100
DKUC-PAJ-149--18-24 Months-18-24M	1899	100
DKUC-PAJ-149--2-3 Years-2-3Y	1899	100
DKUC-PAJ-149--3-4 Years-3-4Y	1899	100
DKUC-PAJ-149--3-6 Months-3-6M	1899	100
DKUC-PAJ-149--4-5 Years-4-5Y	1899	100
DKUC-PAJ-149--5-6 Years-5-6Y	1899	100
DKUC-PAJ-149--6-7 Years-6-7Y	1899	100
DKUC-PAJ-149--7-8 Years-7-8Y	1899	100
DKUC-PAJ-149--9-12 Months-9-12M	1899	100
DKUC-PAJ-150--0-3 Months-0-3M	1899	100
DKUC-PAJ-150--12-18 Months-12-18M	1899	100
DKUC-PAJ-150--18-24 Months-18-24M	1899	100
DKUC-PAJ-150--2-3 Years-2-3Y	1899	100
DKUC-PAJ-150--3-4 Years-3-4Y	1899	100
DKUC-PAJ-150--3-6 Months-3-6M	1899	100
DKUC-PAJ-150--4-5 Years-4-5Y	1899	100
DKUC-PAJ-150--5-6 Years-5-6Y	1899	100
DKUC-PAJ-150--6-7 Years-6-7Y	1899	100
DKUC-PAJ-150--7-8 Years-7-8Y	1899	100
DKUC-PAJ-150--9-12 Months-9-12M	1899	100
DKUC-PSUT-103--12-18 months	1800	100
DKUC-PSUT-103--18-24 months	2400	100
DKUC-PSUT-103--2-3 years	2400	100
DKUC-PSUT-103--3-4 years	2400	100
DKUC-PSUT-103--3-6 months	1800	100
DKUC-PSUT-103--4-5 years	2700	100
DKUC-PSUT-103--5-6 years	2700	100
DKUC-PSUT-103--6-12 months	1800	100
DKUC-PSUT-103--6-7 years	2700	100
DKUC-PSUT-104--12-18 months	1800	100
DKUC-PSUT-104--18-24 months	2400	100
DKUC-PSUT-104--2-3 years	2400	100
DKUC-PSUT-104--3-4 years	2400	100
DKUC-PSUT-104--3-6 months	1800	100
DKUC-PSUT-104--4-5 years	2700	100
DKUC-PSUT-104--5-6 years	2700	100
DKUC-PSUT-104--6-12 months	1800	100
DKUC-PSUT-104--6-7 years	2700	100
DKUC-PSUT-108--12-18 Months-12-18M	1299	100
DKUC-PSUT-108--18-24 Months-18-24M	1599	100
DKUC-PSUT-108--2-3 Years-2-3Y	1599	100
DKUC-PSUT-108--3-4 years-3-4Y	1599	100
DKUC-PSUT-108--3-6 Months-3-6M	1299	100
DKUC-PSUT-108--4-5 Years-4-5Y	1799	100
DKUC-PSUT-108--5-6 Years-5-6Y	1799	100
DKUC-PSUT-108--6-12 Months-6-12M	1299	100
DKUC-PSUT-108--6-7 Years-6-7Y	1799	100
DKUC-PSUT-110--12-18 Months-12-18M	1299	100
DKUC-PSUT-110--18-24 Months-18-24M	1599	100
DKUC-PSUT-110--2-3 Years-2-3Y	1599	100
DKUC-PSUT-110--3-4 years-3-4Y	1599	100
DKUC-PSUT-110--3-6 Months-3-6M	1299	100
DKUC-PSUT-110--4-5 Years-4-5Y	1799	100
DKUC-PSUT-110--5-6 Years-5-6Y	1799	100
DKUC-PSUT-110--6-12 Months-6-12M	1299	100
DKUC-PSUT-110--6-7 Years-6-7Y	1799	100
DKUC-PSUT-114--12-18 Months-12-18M	1599	100
DKUC-PSUT-114--18-24 Months-18-24M	1799	100
DKUC-PSUT-114--2-3 Years-2-3Y	1799	100
DKUC-PSUT-114--3-4 years-3-4Y	1799	100
DKUC-PSUT-114--3-6 Months-3-6M	1599	100
DKUC-PSUT-114--4-5 Years-4-5Y	1999	100
DKUC-PSUT-114--5-6 Years-5-6Y	1999	100
DKUC-PSUT-114--6-12 Months-6-12M	1599	100
DKUC-PSUT-114--6-7 Years-6-7Y	1999	100
DKUC-PSUT-120--12-18 Months-12-18M	1599	100
DKUC-PSUT-120--18-24 Months-18-24M	1799	100
DKUC-PSUT-120--2-3 Years-2-3Y	1799	100
DKUC-PSUT-120--3-4 years-3-4Y	1799	100
DKUC-PSUT-120--3-6 Months-3-6M	1599	100
DKUC-PSUT-120--4-5 Years-4-5Y	1999	100
DKUC-PSUT-120--5-6 Years-5-6Y	1999	100
DKUC-PSUT-120--6-12 Months-6-12M	1599	100
DKUC-PSUT-120--6-7 Years-6-7Y	1999	100
DKUC-PSUT-180--12-18 months	1899	100
DKUC-PSUT-180--18-24 months	1899	100
DKUC-PSUT-180--2-3 years	1899	100
DKUC-PSUT-180--3-4 years	1899	100
DKUC-PSUT-180--3-6 months	1899	100
DKUC-PSUT-180--4-5 years	1899	100
DKUC-PSUT-180--5-6 years	1899	100
DKUC-PSUT-180--6-12 months	1899	100
DKUC-PSUT-180--6-7 years	1899	100
DKUC-PSUT-181--12-18 months	1899	100
DKUC-PSUT-181--18-24 months	1899	100
DKUC-PSUT-181--2-3 years	1899	100
DKUC-PSUT-181--3-4 years	1899	100
DKUC-PSUT-181--3-6 months	1899	100
DKUC-PSUT-181--4-5 years	1899	100
DKUC-PSUT-181--5-6 years	1899	100
DKUC-PSUT-181--6-12 months	1899	100
DKUC-PSUT-181--6-7 years	1899	100
DKUC-PSUT-182--12-18 months	1899	100
DKUC-PSUT-182--18-24 months	1899	100
DKUC-PSUT-182--2-3 years	1899	100
DKUC-PSUT-182--3-4 years	1899	100
DKUC-PSUT-182--3-6 months	1899	100
DKUC-PSUT-182--4-5 years	1899	100
DKUC-PSUT-182--5-6 years	1899	100
DKUC-PSUT-182--6-12 months	1899	100
DKUC-PSUT-182--6-7 years	1899	100
DKUC-PSUT-183--12-18 months	1899	100
DKUC-PSUT-183--18-24 months	1899	100
DKUC-PSUT-183--2-3 years	1899	100
DKUC-PSUT-183--3-4 years	1899	100
DKUC-PSUT-183--3-6 months	1899	100
